genre,f1,precision,recall,support
Action,0.3224,0.2878,0.3663,1485
Adventure,0.2243,0.1835,0.2884,808
Animation,0.2361,0.1673,0.401,611
Children,0.2175,0.1495,0.3993,566
Comedy,0.3853,0.4085,0.3646,3382
Crime,0.2252,0.1974,0.2621,1099
Documentary,0.2849,0.237,0.3571,1148
Drama,0.6103,0.4865,0.8186,5116
Fantasy,0.1804,0.123,0.3387,561
Film-Noir,0.0683,0.0356,0.8533,75
Horror,0.3416,0.3046,0.389,1162
IMAX,0.0287,0.015,0.3333,42
Musical,0.0858,0.0469,0.4976,209
Mystery,0.193,0.1372,0.3253,581
Romance,0.2948,0.2498,0.3596,1482
Sci-Fi,0.2382,0.1972,0.3009,698
Thriller,0.3282,0.2278,0.5866,1749
War,0.1336,0.0807,0.3879,397
Western,0.1498,0.0832,0.7518,282
